"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Slfn1","other","cell cycle inhibitor; maintains T-cell and endothelial progenitor cell quiescence by repressing cyclin D1 (CCND1) expression; member of Schlafen family; mechanism of tRNA-regulatory activity uncertain in this isoform","CCND1 (transcriptional repression)","cytoplasm","immune cells (T cells), endothelial progenitor cells","resting T cells, endothelial progenitor cells","cell cycle arrest (G1), quiescence maintenance","Slfn1 overexpression: suppressed EPC proliferation and tube formation; KO: no dedicated mouse phenotype reported","NA","no direct neural phenotype described","no direct cerebellar evidence","colorectal adenocarcinoma (family member expression study)","antiproliferative (tumor suppressor context)","NA","promotes quiescence over proliferation; may suppress transition to actively cycling state","SLFN1 is a Schlafen family protein that maintains cellular quiescence by repressing cyclin D1, thereby arresting T cells and endothelial progenitor cells in G1 and suppressing their proliferation and angiogenic tube formation."
"Slfn2","other","tRNA-binding protein that protects tRNAs from oxidative cleavage by angiogenin during T-cell activation; maintains T-cell and hematopoietic stem cell quiescence; required for monocyte-mediated immunity","tRNA (binding/protection), angiogenin (antagonist)","cytoplasm","immune cells (T cells, monocytes), hematopoietic stem cells","T cells, monocytes, hematopoietic stem cells","tRNA stability, reactive oxygen species response, T-cell activation, quiescence","Slfn2 elektra mutation: loss of T-cell quiescence, impaired T-cell renewal, apoptosis; also predisposes to T-ALL development; monocyte dysfunction","viable","no direct neural phenotype; tRNA protection mechanism relevant to oxidative stress in neural cells","no direct cerebellar evidence","T-cell ALL (predisposing mutation context), colorectal adenocarcinoma (family expression)","context-dependent (loss of quiescence can promote leukemogenesis)","NA","maintains stem/progenitor quiescence; tRNA protection supports survival during metabolic activation","SLFN2 is a tRNA-binding Schlafen protein that protects T cells from oxidative tRNA cleavage during activation, maintains T-cell and hematopoietic stem cell quiescence, and whose dysfunction predisposes to T-cell acute lymphoblastic leukemia."
"Slfn4","other","promotes myeloid-derived suppressor cell (MDSC) differentiation; associated with gastric metaplasia and Helicobacter-driven preneoplasia; anti-proliferative family member; interferon-regulated","TLR9 pathway (indirect); PDE3A (human ortholog SLFN12L context)","cytoplasm","stomach, myeloid cells","myeloid-derived suppressor cells, gastric epithelium, neutrophils","TLR9 signaling, MDSC differentiation, interferon response","no dedicated KO phenotype reported; Slfn4 expression marks MDSC subset in inflamed stomach","NA","expressed in neutrophil subsets after traumatic brain injury","no direct cerebellar evidence","gastric cancer (preneoplastic MDSC context), colorectal adenocarcinoma (family expression)","pro-tumorigenic (MDSC-mediated immunosuppression in Helicobacter-driven carcinogenesis)","NA","anti-proliferative; promotes myeloid differentiation toward suppressor phenotype","SLFN4 is an interferon-regulated Schlafen protein that drives myeloid-derived suppressor cell differentiation in Helicobacter-inflamed gastric epithelium, contributing to immunosuppression and preneoplastic transformation."
"Slk","kinase","Ste20-like serine/threonine kinase; phosphorylates ERM proteins (ezrin/radixin/moesin) to regulate actin cytoskeletal remodeling; controls mitotic spindle orientation, cell migration, apoptosis, and microtubule dynamics","ERM proteins (ezrin, radixin, moesin), microtubule-associated proteins","cytoplasm, microtubule network, cortical membrane","kidney, liver, brain, developing cortex","cortical neurons, hepatocytes, epithelial cells, myocytes","Actin/ERM signaling, apoptosis, cell cycle (G2/M), Rho GTPase pathway","Slk cortical neuron deficiency: impaired distal dendritic tree development; liver-specific: regeneration impaired","viable","cortical neuron polarity defects; impaired dendritic arborization in developing cortex","no direct cerebellar evidence","hepatocellular carcinoma (tumor microenvironment context); various cancers (cytoskeletal role)","context-dependent (promotes cancer cell motility and invasion via cytoskeletal remodeling)","NA","required for cortical neuron polarization and dendritic development; regulates mitotic spindle orientation during neurogenesis","SLK is a Ste20-like kinase that activates ERM proteins to remodel the actin cytoskeleton and orient the mitotic spindle, and is required for cortical neuron polarization and proper dendritic arborization during brain development."
"Slmap","scaffold/adaptor","scaffolding subunit of the STRIPAK (PP2A) complex; recruits PP2A to dephosphorylate and inactivate MST1/2, thereby suppressing Hippo signaling and promoting YAP activity; regulates centrosome function, myoblast fusion, and cell cycle progression","MST1/2 (substrate via PP2A), STK25, SAV1","centrosome, mitochondria, sarcolemma, Golgi","heart, skeletal muscle, intestine, liver","myoblasts, cardiomyocytes, intestinal fibroblasts, epithelial cells","Hippo/YAP signaling, STRIPAK complex, cell cycle, myoblast fusion","Slmap cardiac KO: congenital heart defects; abnormal cardiogenesis and chamber formation; gut-specific: reduced intestinal elongation via YAP inactivation in fibroblasts","lethal (cardiac KO)","SLMAP centrosomal function relevant to neural progenitor mitosis; brain lateralization context (SH3RF2 study)","no direct cerebellar evidence","colorectal cancer (SRSF2 alternative splicing target), ROS1-rearranged NSCLC (bioinformatic), various cancers (Hippo pathway)","tumor suppressor context (STRIPAK-SLMAP promotes YAP; loss impairs growth signaling)","Brugada syndrome (cardiac arrhythmia; SLMAP3 isoform)","regulates myoblast fusion and cardiomyocyte differentiation; STRIPAK-Hippo axis controls tissue growth","SLMAP is a tail-anchored STRIPAK complex scaffold that recruits PP2A to inactivate MST1/2 and suppress Hippo signaling, promoting YAP-driven tissue growth; its cardiac-specific deletion causes congenital heart defects, and SLMAP3 mutations associate with Brugada syndrome."
"Slx4","scaffold/adaptor","DNA repair scaffold; structure-specific endonuclease regulator; promotes Holliday junction resolution","Holliday junctions; 5-flap DNA structures; bubble structures; interstrand crosslinks","nucleus; chromatin-associated foci; condensates","ubiquitous","proliferating cells; germline cells","Fanconi anemia (FANCP) pathway; homologous recombination; NER; replication stress response","embryonic lethality reported in full KO; spermatogenesis arrest in conditional KO","severe","not specifically studied","not reported","broad solid tumors; associated with Fanconi anemia cancer predisposition","tumor suppressor (FANCP); loss promotes genome instability and chromothripsis","Fanconi anemia group P","maintains genome stability required for proliferating progenitor survival; not a differentiation regulator","Scaffold protein for SLX1, MUS81-EME1, and XPF-ERCC1 endonucleases that resolves DNA replication intermediates and Holliday junctions to maintain genome stability."
"Smarcd1","scaffold/adaptor","chromatin remodeling; SWI/SNF complex component; transcriptional co-activation/repression","chromatin; nucleosome substrates","nucleus; SWI/SNF complex","ubiquitous; high in brain; vascular","neural progenitors; neurons; smooth muscle cells; T cells","SWI/SNF (BAF/npBAF/nBAF) chromatin remodeling; PD-L1 immune checkpoint; circadian clock regulation","reduced adipogenesis; altered immune responses","moderate","neural progenitor to neuron BAF complex switch impaired","expressed in developing cerebellum (inferred from npBAF/nBAF roles)","glioblastoma; lung cancer; melanoma; prostate cancer; ovarian cancer","context-dependent; tumor suppressor in glioblastoma; oncogenic via PD-L1 in other cancers","not a primary neurological disease gene","component of npBAF→nBAF switch during neural differentiation; promotes postmitotic neuron identity","SWI/SNF chromatin remodeling subunit involved in the npBAF-to-nBAF complex switch during neuronal differentiation, with context-dependent roles in cancer."
"Smtn","structural protein","actin cytoskeleton stabilization; smooth muscle contractile phenotype maintenance","actin filaments; filamin A","cytoskeleton; cytoplasm","smooth muscle (visceral and vascular); low in brain","smooth muscle cells; vascular smooth muscle cells","smooth muscle cytoskeleton; calcineurin/KLF4 pathway; SNS-regulated SMC differentiation","intestinal and vascular smooth muscle contractile defects","moderate","not reported","not reported","not a primary cancer gene; downregulated in some breast cancer and bladder cancer","tumor suppressor-like; loss associated with synthetic/dedifferentiated SMC phenotype","not a primary neurological disease gene","marker and mediator of smooth muscle contractile differentiation; repressed during proliferative switch","Actin-binding structural protein whose expression marks the contractile phenotype of smooth muscle cells and is lost during dedifferentiation to a proliferative phenotype."
"Snai2","transcription factor","transcriptional repression; EMT regulator; neural crest specification; E-box repressor","E-cadherin/CDH1; BRCA2; ITGA3; ITGB1; ITGB4; RUNX2; cyclin A2; cyclin D1","nucleus","broad; high in neural crest; liver; epithelial","neural crest cells; epithelial cells; hepatic stellate cells; keratinocytes","EMT; Wnt; TGF-beta; EGFR; Notch; liver regeneration and fibrosis","piebaldism (coat pigment defects); impaired neural crest migration; lymphocyte abnormalities","moderate","neural crest migration defects; no direct cerebellar phenotype","not reported","breast cancer; pancreatic cancer; oral squamous cell carcinoma; rhabdomyosarcoma; colorectal cancer","oncogene; promotes invasion, EMT, immune evasion, and cancer stem cell traits","not a primary neurological disease gene","promotes neural crest progenitor survival and migration; represses differentiation in epithelial and hematopoietic contexts","Zinc-finger transcriptional repressor that drives EMT and neural crest migration by silencing E-cadherin and other epithelial genes, with roles in cancer invasion and tissue regeneration."
"Snapc5","other","snRNA gene transcription; SNAPc complex subunit; RNA Pol II/III promoter binding","PSE promoter element; U6 snRNA TATA box","nucleus; SNAPc complex","ubiquitous","all cell types","snRNA transcription (Pol II and Pol III); pre-mRNA splicing (snRNPs)","not reported in mammals","not determined","not reported","not reported","colon cancer (CRISPR dependency); lung cancer (associated lncRNA)","potential dependency in some cancers; primarily studied via associated lncRNAs","not a primary neurological disease gene","not specifically linked to differentiation programs","Smallest subunit of the SNAPc complex required for transcription of both Pol II and Pol III snRNA genes, including U6, through PSE and TATA box interactions."
"Sp1","transcription factor","transcriptional activation and repression; GC-box binding; chromatin remodeling recruitment; cell cycle regulation","PDGFRA; BMAL1; RNF112; c-FOS; E2F target genes; cyclin genes; ribosomal genes","nucleus; mitotic chromosomes","ubiquitous","all cell types; high in proliferating cells","cell cycle (G1/S); apoptosis; DNA damage response; circadian clock; NF-kB; EGFR","embryonic lethal around E10.5","severe","widespread; affects neural tube and brain development","medulloblastoma: regulates PPP pathway genes","breast cancer; cervical cancer; gastric cancer; medulloblastoma; many others","oncogene; amplified/overexpressed widely; promotes cell cycle, angiogenesis, and drug resistance","not a primary Mendelian neurological disease gene; associated with aging and brain injury response","promotes proliferation of neural progenitors; regulates G1/S transition; downregulated during terminal differentiation","Ubiquitous GC-box-binding transcription factor that drives expression of cell cycle, growth, and housekeeping genes, and whose activity is essential for embryonic development and neural progenitor proliferation."
"Spg7","protease","mitochondrial protein quality control; AAA protease; proteostasis of inner mitochondrial membrane proteins","MRPL32/bL32m; SMDT1/EMRE; misfolded IMM proteins","mitochondria; inner mitochondrial membrane","ubiquitous; high in neurons and muscle","neurons; motor neurons; skeletal muscle cells","mAAA protease complex; mitochondrial ribosome assembly; calcium homeostasis; oxidative phosphorylation","progressive motor neuron degeneration; spastic paraplegia-like phenotype in mice","severe","progressive ataxia and motor neuron degeneration","cerebellar ataxia (human SPG7 mutations cause cerebellar atrophy)","not a primary cancer gene; methylation changes seen in breast cancer survivors","not a canonical cancer gene","hereditary spastic paraplegia type 7 (SPG7); cerebellar ataxia; optic atrophy","required for mitochondrial function in neurons; not a differentiation regulator per se","Catalytic subunit of the mitochondrial mAAA protease that degrades misfolded inner-membrane proteins and processes MRPL32, with loss-of-function causing hereditary spastic paraplegia and cerebellar ataxia."
"Spin4","other","histone reader; WNT signaling modulator; anti-proliferative regulator","H3K4me3; H4K20me3; methylated histones; phosphatidylcholine (via nematode orthologue)","nucleus; chromatin","ubiquitous; X-linked","all cell types","WNT/beta-catenin signaling; ubiquitin-proteasome (DCAF16/CRL4 substrate); BAP1 DUB pathway","overgrowth syndrome in humans (X-linked); increased WNT signaling; tall stature; splenomegaly","moderate (human LOF = overgrowth syndrome)","not directly reported","not reported","Wilms tumor (prognostic signature); nasopharyngeal carcinoma; cervical cancer","potential tumor suppressor; loss-of-function promotes overgrowth and WNT activation","not a primary neurological disease gene; overgrowth syndrome includes normal intelligence","epigenetic reader that restrains WNT-driven proliferation; loss promotes overgrowth","X-linked Tudor-domain histone reader that suppresses WNT/beta-catenin signaling and restrains cell proliferation, with loss-of-function causing a prenatal overgrowth syndrome."
"Srgap1","GTPase/regulator","RhoA and Cdc42 GAP; Slit-Robo signaling effector; neuronal migration regulator; Rac1 activity modulator","RhoA; Cdc42; Rac1 (context-dependent)","cytoplasm; plasma membrane; lamellipodia","brain; kidney; broadly expressed","neurons; migrating cells; epithelial cells; endothelial cells","Slit-Robo repulsive guidance; Rho GTPase signaling; cell migration; adherens junction regulation","CAKUT (congenital anomalies of kidney/urinary tract) in heterozygous human mutations","moderate","impaired neuronal migration; neural crest guidance defects","not specifically reported in cerebellum","gastric cancer; breast cancer; ovarian cancer; glioblastoma","tumor suppressor; loss promotes invasion and metastasis; promotes invasive switch in breast cancer","not a primary Mendelian neurological disease gene; associated with Hirschsprung disease via MEG3/miR-770","regulates transition from proliferative to migratory/invasive states; controls neuronal migration timing","GTPase-activating protein downstream of Slit-Robo that inactivates Cdc42/RhoA/Rac1 to regulate neuronal migration, cell polarity, and suppress cancer invasion."
"Srgap2","GTPase/regulator","RAC1 GAP; postsynaptic scaffold; membrane deformer via F-BAR domain; synapse maturation regulator","RAC1; HOMER1 (excitatory synapses); GPHN (inhibitory synapses)","cytoplasm; plasma membrane protrusions; postsynaptic density","brain (cerebral cortex, retina); broadly expressed","cortical neurons; retinal ganglion cells; neural stem cells","Slit-Robo signaling; Rho GTPase signaling; synapse formation and maturation; FAM72A gene pair regulation","altered cortical neuron morphology; reduced spine density; accelerated synapse maturation","moderate","delayed synapse maturation; reduced cortical neuron complexity","retinal ganglion cell degeneration; optic nerve pathology reported","hepatocellular carcinoma; osteosarcoma; leukemia; lung cancer (via FAM72)","tumor suppressor; loss promotes metastasis; SRGAP2-FAM72 locus important for NSC proliferation/differentiation","not a primary Mendelian neurological disease gene; associated with ALL fusion genes","key regulator of NSC proliferation-to-differentiation transition via FAM72A gene pair; promotes synapse maturation","Postsynaptic RAC1 GAP that limits excitatory and inhibitory synapse density and promotes maturation in cortical neurons, with the SRGAP2-FAM72 gene pair regulating neural stem cell fate transitions."
"Ssh3","phosphatase","cofilin phosphatase; actin filament dynamics regulator; cofilin reactivation","p-cofilin (Ser3); actin-depolymerizing factor (ADF)","cytoplasm; actin filaments (low binding compared to SSH1/2)","broadly expressed; low in brain compared to SSH1/2","epithelial cells; cancer cells; neuronal cells","Slingshot phosphatase pathway; cofilin/ADF actin dynamics; LIM-kinase pathway","not reported in mice; SSH triple KO affects actin dynamics","not determined","SSH3 has low neuronal expression; SSH1L is the predominant neural isoform","not specifically reported","hepatocellular carcinoma; pancreatic cancer; ovarian cancer; lung squamous cell carcinoma","oncogenic context; elevated in HCC; promotes proliferation and invasion","not a primary neurological disease gene; differentially expressed in Alzheimer disease datasets","not a primary differentiation regulator; involved in cytoskeletal dynamics in dividing cells","Slingshot family phosphatase that dephosphorylates and reactivates cofilin to promote actin filament disassembly, with elevated expression in several carcinomas."
"St7","other","putative tumor suppressor; function poorly characterized; antisense lncRNA (ST7-AS1) well-studied","unknown protein substrates","cytoplasm/nucleus (inferred)","broadly expressed","neural cells; epithelial cells","not well characterized; implicated in Wnt/beta-catenin pathway (via ST7-AS1 studies); NF-kB","associated with autosomal recessive neurological disorder (WES data)","moderate (based on human recessive variant data)","associated with recessive neurological disorder in WES cohort","not specifically reported","gastric cancer; esophageal cancer; thyroid carcinoma; pancreatic cancer; prostate cancer","tumor suppressor; ST7 protein and ST7-AS1 lncRNA suppress proliferation and promote apoptosis","recessive neurological disorder (identified in WES of consanguineous families)","not directly studied in differentiation programs","Poorly characterized putative tumor suppressor at 7q31 whose antisense lncRNA ST7-AS1 is broadly studied as an oncosuppressor in gastrointestinal and other cancers."
"Stau2","other","RNA-binding protein; mRNA localization and transport; asymmetric cell division regulator; translational regulation","Beta-actin mRNA; ProSAPiP1 mRNA; 3-UTR-containing neuronal mRNAs; mRNA granule components","cytoplasm; dendrites; RNA granules; mitotic chromosomes (phosphorylated form)","brain; broadly expressed","neurons; radial glia; neural stem cells; dividing cells","mRNA dendritic localization; local translation; asymmetric cell division; RNA granule assembly","impaired neural stem cell self-renewal; altered cortical layering; myeloid leukemia resistance in KO","moderate","impaired dendritic mRNA transport; reduced synaptic plasticity; altered NSC fate decisions","not directly reported in cerebellum","myeloid leukemia; colorectal cancer (replication stress context)","tumor suppressor in myeloid leukemia; loss reduces leukemia growth; anti-proliferative in dividing cells","not a primary Mendelian neurological disease gene","regulates NSC self-renewal vs differentiation via asymmetric mRNA partitioning; required for postmitotic neuronal dendrite function","Double-stranded RNA-binding protein that localizes neuronal mRNAs to dendrites and mediates asymmetric cell division of neural stem cells to balance self-renewal and differentiation."
"Stc1","secreted factor","phosphate and calcium homeostasis; phagocytosis checkpoint; immunosuppressive factor; anti-ferroptotic signal","calreticulin (eat-me signal counteraction); mitochondrial calcium regulation; GLP-1 secretion regulation","secreted; mitochondria-associated","kidney; placenta; broadly upregulated in cancer and injury contexts","renal tubular cells; intestinal L cells; cancer cells; macrophages; mesothelial cells","calcium/phosphate homeostasis; phagocytosis checkpoint (anti-CD47/calreticulin axis); PI3K/AKT; GLP-1 pathway","not reported in mice","not determined","not reported","not reported","melanoma; colorectal cancer; bladder cancer; ovarian cancer; many solid tumors","oncogene; promotes immune evasion (phagocytosis checkpoint); supports tumor progression and ICI resistance","not a primary neurological disease gene","not a primary differentiation regulator; upregulated during tissue stress/remodeling","Secreted glycoprotein that functions as a phagocytosis checkpoint to suppress macrophage-mediated tumor killing, enabling cancer immune evasion and resistance to checkpoint immunotherapy."
"Stk40","kinase","pseudokinase; substrate adaptor for CRL4-COP1/DET1 E3 ligase; C/EBP translational regulator; NF-kB and p53 negative regulator","C/EBPbeta; C/EBPdelta; NF-kB target genes; miR-31 pathway","cytoplasm; nucleus","broadly expressed; adipose; liver; skin; immune cells","T cells; adipocytes; trophoblasts; keratinocytes","CRL4-COP1 ubiquitin ligase pathway; C/EBP transcription factor regulation; mTOR; NF-kB","enhanced adipogenesis (KO); impaired trophoblast differentiation; altered T cell responses","moderate","not reported","not reported","esophageal cancer; prostate cancer; gastric cancer; general","context-dependent; promotes cancer cell proliferation in some settings; tumor suppressor via NF-kB repression","not a primary neurological disease gene","promotes trophoblast differentiation; inhibits adipogenic differentiation; controls C/EBP levels","Tribbles family pseudokinase that acts as a CRL4-COP1 adaptor to control C/EBP protein levels, thereby regulating adipogenesis, trophoblast differentiation, and NF-kB/p53-mediated transcription."
"Ston2","scaffold/adaptor","endocytic adaptor; synaptic vesicle recycling; clathrin-mediated endocytosis; vesicle uncoating","synaptotagmin (SV cargo recognition); clathrin coat machinery; lysosomal pathway","cytoplasm; endocytic vesicles; synaptic vesicle membrane","brain (high); broadly expressed","neurons; oral epithelial cells; immune cells","clathrin-mediated endocytosis; synaptic vesicle recycling; lysosomal function","not reported in mice","not determined","synaptic vesicle recycling defect; associated with schizophrenia-like synaptic dysfunction","not specifically reported in cerebellum","oral squamous cell carcinoma; thyroid carcinoma; breast cancer; osteosarcoma","oncogenic context; promotes proliferation and migration in oral cancer; upregulated in multiple tumors","schizophrenia (STON2 SNP associations; synaptic hypothesis)","not a primary differentiation regulator; marks mature synaptic terminals","Synaptic vesicle endocytic adaptor that facilitates clathrin-mediated retrieval of SV cargo at synapses, with genetic variants associated with schizophrenia susceptibility."
"Strada","kinase","pseudokinase; STK11/LKB1 activator; mTOR pathway regulator; AMPK axis activator","STK11/LKB1 (conformational activation); CAB39/MO25 complex partner","cytoplasm; nucleus; STRADA-STK11-MO25 complex","brain; broadly expressed","neural progenitors; neurons; trophoblasts; prostate epithelium","mTOR pathway (negative regulator); LKB1-AMPK axis; Wnt/beta-catenin (synthetic lethality context); cell cycle G0","biallelic KO: megalencephaly; drug-resistant epilepsy; cortical malformation; severe intellectual disability","severe","megalencephaly; cortical dysplasia; delayed neurogenesis; excess progenitor proliferation","biallelic STRADA KO causes cortical malformation (Pretzel Syndrome)","prostate cancer; small cell lung cancer; liver cancer","tumor suppressor (via LKB1 activation); loss promotes mTOR-driven cell proliferation","Pretzel Syndrome (PMSE); megalencephaly; drug-resistant epilepsy; intellectual disability","suppresses mTOR to promote cell cycle exit and neuronal differentiation; loss traps progenitors in proliferative state","Pseudokinase adaptor that activates STK11/LKB1 to suppress mTOR signaling, with biallelic loss causing Pretzel Syndrome characterized by megalencephaly, epilepsy, and cortical progenitor over-proliferation."
"Surf6","other","ribosome biogenesis; pre-rRNA processing; nucleolar matrix component; RNA and DNA binding","pre-rRNA; nucleolar RNA","nucleolus; nucleolar matrix","ubiquitous; enriched in proliferating cells","proliferating cells; lymphocytes; fibroblasts","ribosome biogenesis; rRNA processing; nucleolar organization; cell proliferation","impaired ribosome biogenesis; reduced proliferation when knocked down","moderate","not reported","not reported","colon cancer (KRAS context); lymphoproliferative diseases","oncogenic context; upregulated with proliferation; overexpression promotes cell cycle progression","not a primary neurological disease gene","expressed in proliferating cells; downregulated during exit from cell cycle","Conserved nucleolar protein required for pre-rRNA processing and ribosome biogenesis whose expression closely parallels proliferative activity and is induced during lymphocyte activation."
"Synj2","phosphatase","phosphoinositide 5-phosphatase; PI(3,4,5)P3 and PI(4,5)P2 hydrolysis; endocytosis regulation; Rac1 inhibition of endocytosis","PI(3,4,5)P3; PI(4,5)P2; GRB2 (interaction)","cytoplasm; plasma membrane","brain (hair cells; retina); broadly expressed; upregulated in some cancers","auditory hair cells; neurons; cancer cells","PI3K/PTEN/AKT pathway; phosphoinositide signaling; endocytosis; EGFR/GRB2 signaling","progressive hearing loss (Mozart mutant: p.Asn538Lys); normal if heterozygous","moderate (homozygous hearing loss)","hearing loss; retinal degeneration (limited data)","not specifically reported in cerebellum; medulloblastoma gene expression datasets show differential expression","papillary thyroid carcinoma; hepatocellular carcinoma; gastric cancer; breast cancer; medulloblastoma","oncogene; amplified in breast cancer; promotes invasion via PI3K/GRB2; correlates with poor prognosis","not a primary Mendelian neurological disease gene; SNHL in humans (rare)","not a primary differentiation regulator; modulates PI3K signaling in proliferating cells","Inositol 5-phosphatase that hydrolyzes PI(3,4,5)P3 and PI(4,5)P2 to regulate endocytosis and PI3K/AKT signaling, with amplification in breast cancer and loss-of-function causing sensorineural hearing loss."
"Synm","structural protein","intermediate filament assembly; cytoskeletal scaffolding in muscle; IF network anchoring to costameres and NMJ","desmin; vimentin; alpha-dystrobrevin; dystrophin; talin-1; utrophin; vinculin","cytoskeleton; costameres; neuromuscular junction; myotendinous junction","skeletal muscle; cardiac muscle; smooth muscle; PNS (Schwann cells)","muscle cells; Schwann cells","IF cytoskeleton; costamere assembly; neuromuscular junction organization; muscle differentiation","not directly reported in mice; associated with cardiomyopathy and muscle weakness phenotypes in humans","moderate (human mutations associated with cardiomyopathy)","Schwann cell IF expression in peripheral nerve regeneration","not reported in cerebellum","breast cancer; bladder cancer; NSCLC; TNBC (prognostic signature)","context-dependent; downregulated in some cancers; associated with poor prognosis as part of muscle-related signatures","not a primary central neurological disease gene; expressed at NMJ","marks terminally differentiated muscle cells; repressed in proliferative/dedifferentiated states","Type-VI intermediate filament protein that forms heteromeric IF networks with desmin and vimentin in striated and smooth muscle, linking cytoskeletal structures to costameres and neuromuscular junctions."
"Sytl5","scaffold/adaptor","Rab effector; vesicle trafficking; exocytosis regulation; mitochondria-associated vesicle transport","RAB27A; phospholipids; mitochondrial vesicles","cytoplasm; mitochondria-associated vesicles; plasma membrane","thyroid; broadly expressed; upregulated in some cancers","thyroid epithelial cells; cancer cells; germline (C. elegans orthologue)","Rab27A-mediated exocytosis; NF-kB signaling; phosphatidylcholine metabolism (nematode); mitochondrial quality control","germline defects in C. elegans (phosphatidylcholine depletion/ferroptosis)","moderate (nematode); mild (mammals)","not specifically reported","not reported in cerebellum","papillary thyroid carcinoma; cervical cancer; colorectal cancer liver metastasis (via SYTL5-OT4 lncRNA)","oncogene; promotes proliferation, migration, invasion; activates NF-kB; associated with vessel co-option","not a primary neurological disease gene","not a primary differentiation regulator in neural lineage","RAB27A effector that regulates vesicle trafficking and exocytosis, with oncogenic roles in thyroid and other cancers through NF-kB activation and promotion of cell migration and invasion."
"Tacc2","scaffold/adaptor","centrosome-microtubule coupling; spindle assembly; nuclear migration (INM); TTK kinase substrate at centrosome","microtubules; centrosomal proteins; TTK (MPS1) kinase","centrosome; mitotic spindle; nucleus-centrosome interface","heart; muscle; kidney; brain (postmitotic); broadly expressed during development","neural progenitors; cardiomyocytes; cancer cells","centrosome/spindle assembly; interkinetic nuclear migration; androgen receptor signaling; FGFR pathway","viable mice; impaired mammary gland development; no overt neural phenotype reported","mild","not directly reported; implicated in INM of neural progenitors","not specifically reported in cerebellum","esophageal squamous cell carcinoma; breast cancer; prostate cancer; soft tissue sarcoma; GIST","tumor suppressor; loss promotes tumor growth and genomic instability; loss correlates with poor prognosis","intellectual disability (rare de novo variants); clozapine-induced myocarditis locus","regulates interkinetic nuclear migration of neural progenitors; downregulated in postmitotic neurons","Centrosomal TACC family protein that couples the nucleus to the centrosome during interkinetic nuclear migration of neural progenitors and functions as a tumor suppressor in multiple carcinomas."
"Taf5","transcription factor","scaffolds TFIID complex assembly; mediates contacts between TFIID and TFIIF in the PIC; promotes RNA Pol II transcription initiation","TBP; TAF1; TAF3; TAF8; TFIIF","nucleus (preinitiation complex)","ubiquitous","proliferating cells; oocytes","RNA Pol II transcription initiation; PIC assembly","intellectual disability with craniofacial hypoplasia (TAF5 variant); essential gene (lethal when knocked out in mammalian cells)","severe (essential gene)","intellectual disability; craniofacial hypoplasia (variant); neurodevelopmental delay","none specific","oral squamous cell carcinoma (HPV+); general fitness gene in CRISPR screens","essential for cell proliferation via basal transcription; amplified/mutated in HPV+ OSCC","syndromic intellectual disability (TAF5 variants)","required for general transcription; not tissue-specific","Core TFIID scaffold subunit essential for RNA Pol II preinitiation complex assembly and cell proliferation."
"Taf7","transcription factor","inhibits TAF1 HAT activity within TFIID; released from TFIID during elongation; acts as RNA chaperone delivering mRNAs to polysomes; checkpoint regulator of Pol II initiation","TAF1; TAF2; TBP; RNA substrates (CUG motif-containing)","nucleus; cytoplasm (polysomes)","ubiquitous","proliferating cells; differentiating cells","RNA Pol II transcription initiation; TGF-beta signaling; heat shock response","TGF-beta-induced TAF7 degradation required for proliferative arrest; KO lethal","severe (essential gene)","expressed in glioblastoma; glioblastoma dataset DEG","none specific","glioblastoma; renal clear cell carcinoma; hepatocellular carcinoma","oncogenic in ccRCC (SETD7-TAF7-CCNA2 axis promoting proliferation/migration); tumor suppressor function via TGF-beta degradation pathway","none reported","checkpoint regulator at transcription initiation; TGF-beta-mediated degradation triggers growth arrest during mammary differentiation","TFIID subunit that acts as a checkpoint regulator of Pol II transcription initiation and is degraded by TGF-beta to mediate growth arrest."
"Tbc1d4","GTPase/regulator","Rab-GAP stimulating GTP hydrolysis of RAB2A/8A/10/14; downstream effector of Akt; regulates GLUT4 vesicle trafficking","RAB2A; RAB8A; RAB10; RAB14; AKT (upstream)","cytoplasm; endosomes","muscle; adipose; pancreatic beta cells; brain","myotubes; adipocytes; beta cells","Insulin signaling; GLUT4 trafficking; AKT-mTOR; cell cycle (G1/S)","KO in mouse: impaired GLUT4 translocation; impaired insulin-stimulated glucose uptake; KD causes G1 arrest in fibroblasts and cancer cells","moderate","none reported","none specific","neuroblastoma (circRNA host gene); breast cancer (fusion gene candidate)","KD causes G1 arrest reducing proliferation in multiple cancer cell lines","none reported","Akt effector linking insulin signaling to GLUT4 vesicle trafficking; KD inhibits proliferation via G1 arrest","Rab-GAP downstream of Akt that promotes GLUT4 vesicle exocytosis and regulates cell cycle G1/S progression."
